Country Name,Country Code,Time,Time Code,"Population"
République dominicaine,DOM,2007,YR2007,9338856
République dominicaine,DOM,2008,YR2008,9458079
République dominicaine,DOM,2009,YR2009,9576736
République dominicaine,DOM,2010,YR2010,9695117
République dominicaine,DOM,2011,YR2011,9813219
Équateur,ECU,2004,YR2004,13596390
Équateur,ECU,2006,YR2006,14059379
Équateur,ECU,2007,YR2007,14296554
Équateur,ECU,2008,YR2008,14535740
Équateur,ECU,2009,YR2009,14774412
Équateur,ECU,2010,YR2010,15011114
Équateur,ECU,2011,YR2011,15243885
"Égypte, République arabe d’",EGY,2004,YR2004,74172073
"Égypte, République arabe d’",EGY,2006,YR2006,76873670
"Égypte, République arabe d’",EGY,2007,YR2007,78232124
"Égypte, République arabe d’",EGY,2008,YR2008,79636081
"Égypte, République arabe d’",EGY,2009,YR2009,81134789
"Égypte, République arabe d’",EGY,2010,YR2010,82761244
"Égypte, République arabe d’",EGY,2011,YR2011,84529251
El Salvador,SLV,2004,YR2004,6023801
El Salvador,SLV,2006,YR2006,6079395
El Salvador,SLV,2007,YR2007,6105810
El Salvador,SLV,2008,YR2008,6131767
El Salvador,SLV,2009,YR2009,6157678
El Salvador,SLV,2010,YR2010,6183877
El Salvador,SLV,2011,YR2011,6210567
Guinée équatoriale,GNQ,2004,YR2004,716949
Guinée équatoriale,GNQ,2006,YR2006,784494
Guinée équatoriale,GNQ,2007,YR2007,821686
Guinée équatoriale,GNQ,2008,YR2008,860839
Guinée équatoriale,GNQ,2009,YR2009,901589
Guinée équatoriale,GNQ,2010,YR2010,943640
Guinée équatoriale,GNQ,2011,YR2011,986861
Érythrée,ERI,2004,YR2004,2719809
Érythrée,ERI,2006,YR2006,2918209
Érythrée,ERI,2007,YR2007,2996540
Érythrée,ERI,2008,YR2008,3062782
Érythrée,ERI,2009,YR2009,3119920
Érythrée,ERI,2010,YR2010,3170437
Érythrée,ERI,2011,YR2011,3213969
Estonie,EST,2004,YR2004,1362550
Estonie,EST,2006,YR2006,1346810
Estonie,EST,2007,YR2007,1340680
Estonie,EST,2008,YR2008,1337090
Estonie,EST,2009,YR2009,1334515
Estonie,EST,2010,YR2010,1331475
Estonie,EST,2011,YR2011,1327439
Eswatini,SWZ,2004,YR2004,1026287
Eswatini,SWZ,2006,YR2006,1036095
Eswatini,SWZ,2007,YR2007,1042651
Eswatini,SWZ,2008,YR2008,1049948
Eswatini,SWZ,2009,YR2009,1057462
Eswatini,SWZ,2010,YR2010,1064841
Eswatini,SWZ,2011,YR2011,1072029
Éthiopie,ETH,2004,YR2004,74239508
Éthiopie,ETH,2006,YR2006,78489205
Éthiopie,ETH,2007,YR2007,80674343
Éthiopie,ETH,2008,YR2008,82916236
Éthiopie,ETH,2009,YR2009,85233923
Éthiopie,ETH,2010,YR2010,87639962
Éthiopie,ETH,2011,YR2011,90139928
Îles Féroé,FRO,2004,YR2004,47600
Îles Féroé,FRO,2006,YR2006,47793
Îles Féroé,FRO,2007,YR2007,47825
Îles Féroé,FRO,2008,YR2008,47822
Îles Féroé,FRO,2009,YR2009,47814
Îles Féroé,FRO,2010,YR2010,47803
Îles Féroé,FRO,2011,YR2011,47815
Fidji,FJI,2004,YR2004,817864
Fidji,FJI,2006,YR2006,827869
Fidji,FJI,2007,YR2007,836185
Fidji,FJI,2008,YR2008,845356
Fidji,FJI,2009,YR2009,853636
Fidji,FJI,2010,YR2010,859816
Fidji,FJI,2011,YR2011,863451
Finlande,FIN,2004,YR2004,5228172
Finlande,FIN,2006,YR2006,5266268
Finlande,FIN,2007,YR2007,5288720
Finlande,FIN,2008,YR2008,5313399
Finlande,FIN,2009,YR2009,5338871
Finlande,FIN,2010,YR2010,5363352
Finlande,FIN,2011,YR2011,5388272
France,FRA,2004,YR2004,62704901
France,FRA,2006,YR2006,63621376
France,FRA,2007,YR2007,64016227
France,FRA,2008,YR2008,64374979
France,FRA,2009,YR2009,64707035
France,FRA,2010,YR2010,65027505
France,FRA,2011,YR2011,65342789
Polynésie française,PYF,2004,YR2004,255995
Polynésie française,PYF,2006,YR2006,261007
Polynésie française,PYF,2007,YR2007,262717
Polynésie française,PYF,2008,YR2008,264064
Polynésie française,PYF,2009,YR2009,265256
Polynésie française,PYF,2010,YR2010,266449
Polynésie française,PYF,2011,YR2011,267702
Gabon,GAB,2004,YR2004,1353788
Gabon,GAB,2006,YR2006,1430144
Gabon,GAB,2007,YR2007,1472565
Gabon,GAB,2008,YR2008,1518538
Gabon,GAB,2009,YR2009,1568925
Gabon,GAB,2010,YR2010,1624146
Gabon,GAB,2011,YR2011,1684629
Gambie,GMB,2004,YR2004,1496524
Gambie,GMB,2006,YR2006,1591444
Gambie,GMB,2007,YR2007,1639846
Gambie,GMB,2008,YR2008,1689288
Gambie,GMB,2009,YR2009,1740277
Gambie,GMB,2010,YR2010,1793199
Gambie,GMB,2011,YR2011,1848142
Géorgie,GEO,2004,YR2004,3927340
Géorgie,GEO,2006,YR2006,3880347
Géorgie,GEO,2007,YR2007,3860158
Géorgie,GEO,2008,YR2008,3848449
Géorgie,GEO,2009,YR2009,3814419
Géorgie,GEO,2010,YR2010,3786695
Géorgie,GEO,2011,YR2011,3756441
Allemagne,DEU,2004,YR2004,82516260
Allemagne,DEU,2006,YR2006,82376451
Allemagne,DEU,2007,YR2007,82266372
Allemagne,DEU,2008,YR2008,82110097
Allemagne,DEU,2009,YR2009,81902307
Allemagne,DEU,2010,YR2010,81776930
Allemagne,DEU,2011,YR2011,80274983
Ghana,GHA,2004,YR2004,21272328
Ghana,GHA,2006,YR2006,22379057
Ghana,GHA,2007,YR2007,22963946
Ghana,GHA,2008,YR2008,23563832
Ghana,GHA,2009,YR2009,24170943
Ghana,GHA,2010,YR2010,24779614
Ghana,GHA,2011,YR2011,25387713
Gibraltar,GIB,2004,YR2004,32930
Gibraltar,GIB,2006,YR2006,33420
Gibraltar,GIB,2007,YR2007,33524
Gibraltar,GIB,2008,YR2008,33570
Gibraltar,GIB,2009,YR2009,33562
Gibraltar,GIB,2010,YR2010,33585
Gibraltar,GIB,2011,YR2011,33608
Grèce,GRC,2004,YR2004,10955141
Grèce,GRC,2006,YR2006,11020362
Grèce,GRC,2007,YR2007,11048473
Grèce,GRC,2008,YR2008,11077841
Grèce,GRC,2009,YR2009,11107017
Grèce,GRC,2010,YR2010,11121341
Grèce,GRC,2011,YR2011,11104899
Groenland,GRL,2004,YR2004,56911
Groenland,GRL,2006,YR2006,56774
Groenland,GRL,2007,YR2007,56555
Groenland,GRL,2008,YR2008,56328
Groenland,GRL,2009,YR2009,56323
Groenland,GRL,2010,YR2010,56905
Groenland,GRL,2011,YR2011,56890
Grenade,GRD,2004,YR2004,104346
Grenade,GRD,2006,YR2006,104938
Grenade,GRD,2007,YR2007,105183
Grenade,GRD,2008,YR2008,105457
Grenade,GRD,2009,YR2009,105787
Grenade,GRD,2010,YR2010,106227
Grenade,GRD,2011,YR2011,106786
Guam,GUM,2004,YR2004,158094
Guam,GUM,2006,YR2006,158649
Guam,GUM,2007,YR2007,158848
Guam,GUM,2008,YR2008,159037
Guam,GUM,2009,YR2009,159232
Guam,GUM,2010,YR2010,159439
Guam,GUM,2011,YR2011,159690
Guatemala,GTM,2004,YR2004,12682108
Guatemala,GTM,2006,YR2006,13213330
Guatemala,GTM,2007,YR2007,13477017
Guatemala,GTM,2008,YR2008,13739299
Guatemala,GTM,2009,YR2009,14000190
Guatemala,GTM,2010,YR2010,14259687
Guatemala,GTM,2011,YR2011,14521515
Guinée,GIN,2004,YR2004,8925729
Guinée,GIN,2006,YR2006,9307421
Guinée,GIN,2007,YR2007,9518159
Guinée,GIN,2008,YR2008,9738796
Guinée,GIN,2009,YR2009,9964470
Guinée,GIN,2010,YR2010,10192168
Guinée,GIN,2011,YR2011,10420459
Guinée-Bissau,GNB,2004,YR2004,1313492
Guinée-Bissau,GNB,2006,YR2006,1377582
Guinée-Bissau,GNB,2007,YR2007,1411545
Guinée-Bissau,GNB,2008,YR2008,1446936
Guinée-Bissau,GNB,2009,YR2009,1483920
Guinée-Bissau,GNB,2010,YR2010,1522603
Guinée-Bissau,GNB,2011,YR2011,1562996
Guyane,GUY,2004,YR2004,745737
Guyane,GUY,2006,YR2006,746335
Guyane,GUY,2007,YR2007,746477
Guyane,GUY,2008,YR2008,746815
Guyane,GUY,2009,YR2009,747718
Guyane,GUY,2010,YR2010,749430
Guyane,GUY,2011,YR2011,752029
Haïti,HTI,2004,YR2004,9047082
Haïti,HTI,2006,YR2006,9344784
Haïti,HTI,2007,YR2007,9495336
Haïti,HTI,2008,YR2008,9646570
Haïti,HTI,2009,YR2009,9798046
Haïti,HTI,2010,YR2010,9949318
Haïti,HTI,2011,YR2011,10100320
Honduras,HND,2004,YR2004,7282953
Honduras,HND,2006,YR2006,7634295
Honduras,HND,2007,YR2007,7808520
Honduras,HND,2008,YR2008,7980955
Honduras,HND,2009,YR2009,8150780
Honduras,HND,2010,YR2010,8317467
Honduras,HND,2011,YR2011,8480670
"Chine, RAS de Hong Kong",HKG,2004,YR2004,6783500
"Chine, RAS de Hong Kong",HKG,2006,YR2006,6857100
"Chine, RAS de Hong Kong",HKG,2007,YR2007,6916300
"Chine, RAS de Hong Kong",HKG,2008,YR2008,6957800
"Chine, RAS de Hong Kong",HKG,2009,YR2009,6972800
"Chine, RAS de Hong Kong",HKG,2010,YR2010,7024200
"Chine, RAS de Hong Kong",HKG,2011,YR2011,7071600
Hongrie,HUN,2004,YR2004,10107146
Hongrie,HUN,2006,YR2006,10071370
Hongrie,HUN,2007,YR2007,10055780
Hongrie,HUN,2008,YR2008,10038188
Hongrie,HUN,2009,YR2009,10022650
Hongrie,HUN,2010,YR2010,10000023
Hongrie,HUN,2011,YR2011,9971727
Islande,ISL,2004,YR2004,292074
Islande,ISL,2006,YR2006,303782
Islande,ISL,2007,YR2007,311566
Islande,ISL,2008,YR2008,317414
Islande,ISL,2009,YR2009,318499
Islande,ISL,2010,YR2010,318041
Islande,ISL,2011,YR2011,319014
Inde,IND,2004,YR2004,1129623466
Inde,IND,2006,YR2006,1165486291
Inde,IND,2007,YR2007,1183209471
Inde,IND,2008,YR2008,1200669762
Inde,IND,2009,YR2009,1217726217
Inde,IND,2010,YR2010,1234281163
Inde,IND,2011,YR2011,1250287939
Indonésie,IDN,2004,YR2004,223285666
Indonésie,IDN,2006,YR2006,229318262
